scope,id,line,term,hit_tokens,rules,lemma_guess,confidence,meaning,status,wrong_count,review_streak,dismissed
???,P1-413,1273,boards,boards,-s,board,?,"n. 木板, 板子；纸板（board复数形式）",learning,5,1,0
???,P1-420,61,booths,booths,-s,booth,?,"n. 售货棚, 摊位( booth的复数形式 ); 小房间",mastered,5,2,0
???,P1-58,1817,Sports Centre,Sports,-s,sport,?,"体育运动中心, 运动场",learning,4,1,0
???,P1-148,2020,brushes,brushes,-es,brush,?,n. 擦( brush的名词复数 ); 刷子; 小冲突; 灌木丛,mastered,4,2,0
???,P1-226,1303,exercises,exercises,-s,exercise,?,"n. 练习题, 演习；运动",mastered,4,2,0
???,P1-205,1259,carpets,carpets,-s,carpet,?,n. 地毯（carpet的复数）,mastered,3,2,0
???,P1-209,735,clothes,clothes,plural-only,,?,n. 衣服；服装；,mastered,3,2,0
???,P1-446,996,cars,cars,-s,car,?,n. 汽车；“car”的复数；,mastered,3,2,0
???,P1-477,660,collect shells,shells,-s,shell,?,"收集,聚集/贝壳（shell的复数）",mastered,3,2,0
???,P9-714,16,pots,pots,-s,pot,?,n. 罐；壶；盆；“pot”的复数；,mastered,3,2,0
???,P1-107,106,whales,whales,-s,whale,?,n. 鲸；“whale”的复数；,mastered,2,2,0
???,P1-139,932,stairs,stairs,plural-only,,?,n. 楼梯,mastered,2,2,0
???,P1-287,1967,tools,tools,-s,tool,?,n. 工具；刀具；器具；“tool”的复数；,mastered,2,2,0
???,P1-385,1387,bad surroundings,surroundings,plural-only,,?,环境差,learning,2,1,0
???,P1-479,348,Collins,Collins,-s,collin,?,n. 柯林斯酒,learning,2,1,0
???,P9-17,31,bacteria,bacteria,irregular,bacterium,?,n. 细菌；“bacterium”的复数；,learning,2,1,0
???,P9-1483,27,crocodiles,crocodiles,-s,crocodile,?,n. 鳄鱼；“crocodile”的复数；,learning,2,0,0
???,P1-52,198,jeans,jeans,plural-only,,?,n. 牛仔裤,mastered,1,0,0
???,P1-128,569,magazines,magazines,-s,magazine,?,n. 杂志；“magazine”的复数；,mastered,1,2,0
???,P1-189,1782,three years,years,-s,year,?,[医]三夏，三春,mastered,1,2,0
???,P1-203,652,candles,candles,-s,candle,?,n. 蜡烛；“candle”的复数；,mastered,1,2,0
???,P1-215,32,decorations,decorations,-s,decoration,?,n. 装饰品；装饰物；“decoration”的复数；,mastered,1,2,0
???,P1-284,1215,teenagers,teenagers,-s,teenager,?,n. （十三到十九岁的）青少年；“teenager”的复数；,mastered,1,2,0
???,P1-288,1959,trousers,trousers,plural-only,,?,n. 裤子；长裤；,mastered,1,2,0
???,P1-300,73,adult learners,learners,-s,learner,?,"成人 / 学习者,初学者",mastered,1,2,0
???,P1-310,1373,discounts,discounts,-s,discount,?,"n. 优惠, 折价；扣减额（discount的复数形式）",mastered,1,2,0
???,P1-331,744,Saturdays,Saturdays,-s,saturday,?,"'sætәdiz, -deiz adv. 每星期六, 在任何星期六",mastered,1,2,0
???,P1-335,1699,towels,towels,-s,towel,?,"n. 毛巾, 手巾, 纸巾( towel的名词复数 )",mastered,1,2,0
???,P1-352,121,accounts,accounts,-s,account,?,n. 账号；会计账簿；账目（account的复数）,mastered,1,2,0
???,P1-371,582,arts,arts,-s,art,?,n. 文科,mastered,1,2,0
???,P1-381,404,back problems,problems,-s,problem,?,背问题；,mastered,1,2,0
???,P1-426,873,bunch of flowers,flowers,-s,flower,?,花束,mastered,1,2,0
???,P1-449,13,categories,categories,-ies,category,?,n. 分类；类别（category的复数）,mastered,1,2,0
???,P1-474,1442,cold drinks,drinks,-s,drink,?,[医]清凉饮料,mastered,1,2,0
???,P9-1659,25,Undersea Worlds,Worlds,-s,world,?,phrase. 海底世界；水下世界（指海洋深处的生态环境或幻想中的水下国度）,mastered,1,2,0
??,P1-52,198,jeans,jeans,plural-only,,?,n. 牛仔裤,mastered,1,0,0
??,P1-58,1817,Sports Centre,Sports,-s,sport,?,"体育运动中心, 运动场",learning,4,1,0
??,P1-107,106,whales,whales,-s,whale,?,n. 鲸；“whale”的复数；,mastered,2,2,0
??,P1-128,569,magazines,magazines,-s,magazine,?,n. 杂志；“magazine”的复数；,mastered,1,2,0
??,P1-139,932,stairs,stairs,plural-only,,?,n. 楼梯,mastered,2,2,0
??,P1-148,2020,brushes,brushes,-es,brush,?,n. 擦( brush的名词复数 ); 刷子; 小冲突; 灌木丛,mastered,4,2,0
??,P1-189,1782,three years,years,-s,year,?,[医]三夏，三春,mastered,1,2,0
??,P1-203,652,candles,candles,-s,candle,?,n. 蜡烛；“candle”的复数；,mastered,1,2,0
??,P1-205,1259,carpets,carpets,-s,carpet,?,n. 地毯（carpet的复数）,mastered,3,2,0
??,P1-209,735,clothes,clothes,plural-only,,?,n. 衣服；服装；,mastered,3,2,0
??,P1-215,32,decorations,decorations,-s,decoration,?,n. 装饰品；装饰物；“decoration”的复数；,mastered,1,2,0
??,P1-226,1303,exercises,exercises,-s,exercise,?,"n. 练习题, 演习；运动",mastered,4,2,0
??,P1-284,1215,teenagers,teenagers,-s,teenager,?,n. （十三到十九岁的）青少年；“teenager”的复数；,mastered,1,2,0
??,P1-287,1967,tools,tools,-s,tool,?,n. 工具；刀具；器具；“tool”的复数；,mastered,2,2,0
??,P1-288,1959,trousers,trousers,plural-only,,?,n. 裤子；长裤；,mastered,1,2,0
??,P1-300,73,adult learners,learners,-s,learner,?,"成人 / 学习者,初学者",mastered,1,2,0
??,P1-310,1373,discounts,discounts,-s,discount,?,"n. 优惠, 折价；扣减额（discount的复数形式）",mastered,1,2,0
??,P1-331,744,Saturdays,Saturdays,-s,saturday,?,"'sætәdiz, -deiz adv. 每星期六, 在任何星期六",mastered,1,2,0
??,P1-335,1699,towels,towels,-s,towel,?,"n. 毛巾, 手巾, 纸巾( towel的名词复数 )",mastered,1,2,0
??,P1-352,121,accounts,accounts,-s,account,?,n. 账号；会计账簿；账目（account的复数）,mastered,1,2,0
??,P1-371,582,arts,arts,-s,art,?,n. 文科,mastered,1,2,0
??,P1-381,404,back problems,problems,-s,problem,?,背问题；,mastered,1,2,0
??,P1-385,1387,bad surroundings,surroundings,plural-only,,?,环境差,learning,2,1,0
??,P1-413,1273,boards,boards,-s,board,?,"n. 木板, 板子；纸板（board复数形式）",learning,5,1,0
??,P1-420,61,booths,booths,-s,booth,?,"n. 售货棚, 摊位( booth的复数形式 ); 小房间",mastered,5,2,0
??,P1-426,873,bunch of flowers,flowers,-s,flower,?,花束,mastered,1,2,0
??,P1-446,996,cars,cars,-s,car,?,n. 汽车；“car”的复数；,mastered,3,2,0
??,P1-449,13,categories,categories,-ies,category,?,n. 分类；类别（category的复数）,mastered,1,2,0
??,P1-474,1442,cold drinks,drinks,-s,drink,?,[医]清凉饮料,mastered,1,2,0
??,P1-477,660,collect shells,shells,-s,shell,?,"收集,聚集/贝壳（shell的复数）",mastered,3,2,0
??,P1-479,348,Collins,Collins,-s,collin,?,n. 柯林斯酒,learning,2,1,0
??,P9-17,31,bacteria,bacteria,irregular,bacterium,?,n. 细菌；“bacterium”的复数；,learning,2,1,0
??,P9-23,946,beginners,beginners,-s,beginner,?,n. 初学者；“beginner”的复数；,,0,,0
??,P9-28,1851,bones,bones,-s,bone,?,n. 骨；骨头；“bone”的复数；,,0,,0
??,P9-29,60,books,books,-s,book,?,n. 书；“book”的复数；,mastered,0,0,0
??,P9-30,480,boots,boots,-s,boot,?,n. 靴子；“boot”的复数；,,0,,0
??,P9-41,1970,cattle,cattle,irregular,cattle,?,n. 牛；牛（复数名词）；,,0,,0
??,P9-47,473,children,children,irregular,child,?,n. 儿童；小孩；“child”的复数；,,0,,0
??,P9-53,325,clouds,clouds,-s,cloud,?,n.云,,0,,0
??,P9-57,363,coins,coins,-s,coin,?,n. 硬币；“coin”的复数；,,0,,0
??,P9-69,1165,cooks,cooks,-s,cook,?,n.厨师,,0,,0
??,P9-78,647,deliveries,deliveries,-ies,delivery,?,n.交付（的货物）,,0,,0
??,P9-87,699,dogs,dogs,-s,dog,?,n. 狗；“dog”的复数；,,0,,0
??,P9-102,174,examples,examples,-s,example,?,n. 例子；“example”的复数,,0,,0
??,P9-109,597,feathers,feathers,-s,feather,?,n. 羽毛；“feather”的复数；,,0,,0
??,P9-138,1049,grandparents,grandparents,-s,grandparent,?,n. 祖父母；外祖父母；爷爷奶奶；,,0,,0
??,P9-159,976,insects,insects,-s,insect,?,n. 昆虫；“insect”的复数；,,0,,0
??,P9-168,1935,jobs,jobs,-s,job,?,n. 工作；“job”的复数；,,0,,0
??,P9-175,599,lamps,lamps,-s,lamp,?,n. 灯；“lamp”的复数；,,0,,0
??,P9-188,917,locks,locks,-s,lock,?,n.锁,,0,,0
??,P9-198,252,materials,materials,-s,material,?,n. 材料；“material”的复数；,,0,,0
??,P9-201,1362,media,media,irregular,medium,?,n. 媒介；媒体；“medium”的复数；,,0,,0
??,P9-210,1250,minerals,minerals,-s,mineral,?,n. 矿物；矿物质；“mineral”的复数；,,0,,0
??,P9-215,329,monkeys,monkeys,-s,monkey,?,n. 猴子；“monkey”的复数；,,0,,0
??,P9-219,1495,movies,movies,-ies,movy,?,n. 电影；“movie”的复数；,,0,,0
??,P9-236,489,numbers,numbers,-s,number,?,n. 数字；算术；“number”的复数；,,0,,0
??,P9-237,1914,nuts,nuts,-s,nut,?,n. 坚果；“nut”的复数；,,0,,0
??,P9-248,1683,ovens,ovens,-s,oven,?,n. 烤箱；“oven”的复数；,,0,,0
??,P9-252,1342,parents,parents,-s,parent,?,n. 父母；“parent”的复数,,0,,0
??,P9-266,838,photographs,photographs,-s,photograph,?,n. 照片；“photograph”的复数；,,0,,0
??,P9-269,1570,plants,plants,-s,plant,?,n. 植物；发电厂；工厂；作物；“plant”的复数；,,0,,0
??,P9-271,879,platforms,platforms,-s,platform,?,n. 平台；站台；月台；“platform”的复数；,,0,,0
??,P9-272,719,plays,plays,-s,play,?,n.戏剧,,0,,0
??,P9-284,56,problems,problems,-s,problem,?,n. 问题；“problem”的复数；,mastered,0,0,0
??,P9-288,598,rats,rats,-s,rat,?,n. 老鼠；耗子；“rat”的复数；,,0,,0
??,P9-292,1571,relationships,relationships,-s,relationship,?,n. 关系；联系；“relationship”的复数；,,0,,0
??,P9-301,587,roads,roads,-s,road,?,n. 马路；“road”的复数,,0,,0
??,P9-303,1063,roots,roots,-s,root,?,n. 根；根源；根本；“root”的复数；,,0,,0
??,P9-311,1971,sales,sales,-s,sale,?,n. 销售额；出售；,,0,,0
??,P9-317,720,scientists,scientists,-s,scientist,?,n. 科学家；“scientist”的复数；,,0,,0
??,P9-323,505,services,services,-s,service,?,n. 服务；“service”的复数；,,0,,0
??,P9-327,927,sharks,sharks,-s,shark,?,n. 鲨鱼；“shark”的复数；,,0,,0
??,P9-328,704,shells,shells,-s,shell,?,n. 壳体；贝壳；炮弹；“shell”的复数；,,0,,0
??,P9-330,478,shoes,shoes,-oes,sho,?,n. 鞋子；“shoe”的复数；,,0,,0
??,P9-332,134,shoulders,shoulders,-s,shoulder,?,n. 肩膀；肩部；肩膀（shoulder 的复数）；,,0,,0
??,P9-338,397,skills,skills,-s,skill,?,n. 技能；技巧；技术；“skill”的复数；,,0,,0
??,P9-341,662,slaves,slaves,-ves,slaf/-fe,?,n. 奴隶；“slave”的复数；,,0,,0
??,P9-349,1740,songs,songs,-s,song,?,n. 歌曲；“song”的复数；,,0,,0
??,P9-355,631,spices,spices,-s,spice,?,n.香料,,0,,0
??,P9-356,1020,spiders,spiders,-s,spider,?,n. 蜘蛛；“spider”的复数；,,0,,0
??,P9-390,1702,teeth,teeth,irregular,tooth,?,n. 牙齿；“tooth”的复数；,,0,,0
??,P9-397,853,tourists,tourists,-s,tourist,?,n. 旅游者；观光者；“tourist”的复数；,,0,,0
??,P9-399,86,toys,toys,-s,toy,?,n. 玩具；“toy”的复数；,mastered,0,0,0
??,P9-426,1025,warnings,warnings,-s,warning,?,n. 警示；警戒；“warning”的复数；,,0,,0
??,P9-434,2038,weeds,weeds,-s,weed,?,n. 杂草；野草；“weed”的复数； v. 除草；铲除；,,0,,0
??,P9-442,572,windows,windows,-s,window,?,n. 窗户；窗口；电脑窗口；“window”的复数；,,0,,0
??,P9-444,1246,women,women,irregular,woman,?,n. 妇女；女人；“woman”的复数；,,0,,0
??,P9-446,1393,words,words,-s,word,?,n. 单词；字；话语；“word”的复数；,,0,,0
??,P9-449,934,writers,writers,-s,writer,?,n.作者,,0,,0
??,P9-452,1114,activities,activities,-ies,activity,?,n. 活动；“activity”的复数；,,0,,0
??,P9-453,1847,actors,actors,-s,actor,?,n. 男演员；“actor”的复数；,,0,,0
??,P9-455,1997,advertisements,advertisements,-s,advertisement,?,n. 广告；“advertisement”的复数；,,0,,0
??,P9-458,534,alternatives,alternatives,-ves,alternatif/-fe,?,n. 替代选择；替代选择（alternative 的复数）；,,0,,0
??,P9-469,1730,benefits,benefits,-s,benefit,?,n. 利益；好处；“benefit”的复数； v. 有益于；有助于；,,0,,0
??,P9-475,1824,boxes,boxes,-es,box,?,n. 箱子；盒子；“box”的复数；,,0,,0
??,P9-492,537,churches,churches,-es,church,?,n. 教堂；“church”的复数；,,0,,0
??,P9-495,683,clocks,clocks,-s,clock,?,n. 钟表；[仪]时钟；[仪]时钟（clock 的复数）；,,0,,0
??,P9-521,1172,cracks,cracks,-s,crack,?,n. 裂缝；裂纹；龟裂；龟裂（crack 的复数形式）； v. 砰地一声打开；,,0,,0
??,P9-525,930,customers,customers,-s,customer,?,n. 顾客；客户；“customer”的复数；,,0,,0
??,P9-527,1748,data,data,irregular,datum,?,n. 数据；资料；,,0,,0
??,P9-535,1086,directions,directions,-s,direction,?,n. 方向；指示；“direction”的复数；,,0,,0
??,P9-541,1561,dolphins,dolphins,-s,dolphin,?,n. 海豚；“dolphin”的复数；,,0,,0
??,P9-564,1360,engineers,engineers,-s,engineer,?,n. 工程师；“engineer”的复数；,,0,,0
??,P9-575,956,females,females,-s,female,?,n.女人,,0,,0
??,P9-579,928,fireplaces,fireplaces,-s,fireplace,?,n. 壁炉；“fireplace”的复数,,0,,0
??,P9-582,1287,fluids,fluids,-s,fluid,?,n. 液体；“fluid”的复数；,,0,,0
??,P9-596,1810,Goods,Goods,plural-only,,?,n. 商品；货物；,,0,,0
??,P9-602,1401,guidelines,guidelines,-s,guideline,?,n.方针政策,,0,,0
??,P9-603,1377,guides,guides,-s,guide,?,n. 导游；指南；“guide”的复数； v. 指导；指引；,,0,,0
??,P9-605,1655,hands,hands,-s,hand,?,n. 手；“hand”的复数；,,0,,0
??,P9-615,1829,hormones,hormones,-s,hormone,?,n. 激素；荷尔蒙；,,0,,0
??,P9-621,1305,ideas,ideas,-s,idea,?,n. 主意；想法；“idea”的复数；,,0,,0
??,P9-623,1141,images,images,-s,image,?,n. 照片；景象；“image”的复数；,,0,,0
??,P9-631,355,inscriptions,inscriptions,-s,inscription,?,n. 铭文；,,0,,0
??,P9-641,779,knives,knives,-ves,knif/-fe,?,n. 刀；“knife”的复数；,,0,,0
??,P9-642,998,laboratories,laboratories,-ies,laboratory,?,n. 实验室；“laboratory”的复数；,,0,,0
??,P9-643,1198,lanes,lanes,-s,lane,?,n. 车道；小路；“lane”的复数；,,0,,0
??,P9-644,1144,layers,layers,-s,layer,?,n. 层；层次；“layer”的复数；,,0,,0
??,P9-646,1917,learners,learners,-s,learner,?,n. 学习者；“learner”的复数,,0,,0
??,P9-647,1726,leaves,leaves,irregular,leaf,?,n. 叶；叶片；“leaf”的复数； v. 留下；离开；离去；,,0,,0
??,P9-648,1875,lectures,lectures,-s,lecture,?,n. 讲课；演讲；“lecture”的复数；,,0,,0
??,P9-654,411,lists,lists,-s,list,?,n. 清单；“list”的复数； v. 列出；,,0,,0
??,P9-656,2015,machines,machines,-s,machine,?,n. 机器；“machine”的复数；,,0,,0
??,P9-659,1806,meals,meals,-s,meal,?,n. 一餐；一顿饭；“meal”的复数；,,0,,0
??,P9-683,1312,opportunities,opportunities,-ies,opportunity,?,n. 机会；“opportunity”的复数,,0,,0
??,P9-686,1410,origins,origins,-s,origin,?,n. 起源；“origin”的复数；,,0,,0
??,P9-691,518,pairs,pairs,-s,pair,?,n. 一对；一双；“pair”的复数；,,0,,0
??,P9-702,184,pilots,pilots,-s,pilot,?,n. 飞行员；“pilot”的复数；,,0,,0
??,P9-707,1183,plates,plates,-s,plate,?,n. 均匀厚度的片状硬物体；盘子；碟子；“plate”的复数；,,0,,0
??,P9-710,1369,police,police,irregular,police,?,n. 警方；警察部门； v. 监督；,,0,,0
??,P9-714,16,pots,pots,-s,pot,?,n. 罐；壶；盆；“pot”的复数；,mastered,3,2,0
??,P9-723,862,prices,prices,-s,price,?,n. 价格；“price”的复数；,,0,,0
??,P9-745,1934,reactions,reactions,-s,reaction,?,n.反应,,0,,0
??,P9-751,311,respects,respects,-s,respect,?,n.尊敬,,0,,0
??,P9-752,2023,risks,risks,-s,risk,?,n. 风险；“risk”的复数； v. 冒……风险；,,0,,0
??,P9-753,97,rivals,rivals,-s,rival,?,n. 竞争者；“rival”的复数；,,0,,0
??,P9-759,380,sandwiches,sandwiches,-es,sandwich,?,n. 三明治；“sandwich”的复数；,,0,,0
??,P9-760,1808,scores,scores,-s,score,?,n. 得分；分数；“score”的复数；,,0,,0
??,P9-762,1481,sculptures,sculptures,-s,sculpture,?,n. 雕刻品；雕像；,,0,,0
??,P9-781,333,stars,stars,-s,star,?,n. 星星；明星；“star”的复数；,,0,,0
??,P9-808,1673,trends,trends,-s,trend,?,n. 趋势；“trend”的复数；,,0,,0
??,P9-819,804,vitamins,vitamins,-s,vitamin,?,n.维生素,,0,,0
??,P9-821,1363,wages,wages,-s,wage,?,n. 工资；“wage”的复数；,,0,,0
??,P9-826,1379,workshops,workshops,-s,workshop,?,n. 车间；工场；研讨会；“workshop”的复数,,0,,0
??,P9-830,782,zoos,zoos,-s,zoo,?,n. 动物园（zoo 的复数形式）,,0,,0
??,P9-874,1294,babies,babies,-ies,baby,?,n. 婴儿；宝贝；“baby”的复数；,,0,,0
??,P9-910,1001,tutorials,tutorials,-s,tutorial,?,n. 教程；指南；“tutorial”的复数；,,0,,0
??,P9-927,826,bags,bags,-s,bag,?,n. 包；“bag”的复数；,,0,,0
??,P9-930,922,bees,bees,-s,bee,?,n.蜜蜂,,0,,0
??,P9-937,706,butterflies,butterflies,-ies,butterfly,?,n. 蝴蝶；“butterfly”的复数；,,0,,0
??,P9-938,933,cabins,cabins,-s,cabin,?,n. 小屋；客舱；“cabin”的复数；,,0,,0
