status,id,oldTerm,newTerm,rule,oldPhonetic,newPhonetic,oldMeaning,newMeaning,audioSource,audioUrl,note
updated,P1-449,categories,category,-ies -> y,,ˈkætəɡəri,n. 分类；类别（category的复数）,n. 分类；类别,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/categ/category__gb_3.mp3,
updated,P9-714,pots,pot,-s,pɒts,pɒt,n. 罐；壶；盆；“pot”的复数；,n. 罐；壶；盆,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pot/pot__/pot__gb_1.mp3,
updated,P9-1382,posts,post,-s,pəʊsts,pəʊst,n. [劳经]岗位；[测]标杆；邮件（post 的复数）；,n. [劳经]岗位；[测]标杆；邮件,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pos/post_/post__1_gb_1.mp3,
updated,P9-1483,crocodiles,crocodile,-s,ˈkrɒkədaɪlz,ˈkrɒkədaɪl,n. 鳄鱼；“crocodile”的复数；,n. 鳄鱼,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/croco/crocodile__gb_2.mp3,
updated,P1-215,decorations,decoration,-s,ˌdekəˈreɪʃənz,ˌdekəˈreɪʃn,n. 装饰品；装饰物；“decoration”的复数；,n. 装饰品；装饰物,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decor/decoration__gb_2.mp3,
updated,P9-284,problems,problem,-s,ˈprɒbləmz,ˈprɒbləm,n. 问题；“problem”的复数；,n. 问题,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/probl/problem__gb_2.mp3,
updated,P9-29,books,book,-s,bʊks,bʊk,n. 书；“book”的复数；,n. 书,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/book_/book__gb_2.mp3,
updated,P1-420,booths,booth,-s,bu:ðz,buːð,"n. 售货棚, 摊位( booth的复数形式 ); 小房间","n. 售货棚, 摊位; 小房间",oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/booth/booth__gb_3.mp3,
updated,P9-399,toys,toy,-s,tɔɪz,tɔɪ,n. 玩具；“toy”的复数；,n. 玩具,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/toy/toy__/toy__gb_1.mp3,
updated,P9-753,rivals,rival,-s,ˈraɪv(ə)lz,ˈraɪvl,n. 竞争者；“rival”的复数；,n. 竞争者,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/riv/rival/rival__gb_1.mp3,
updated,P9-1467,automobiles,automobile,-s,ˈɔːtəməbiːlz,ˈɔːtəməbiːl,n. [车辆]汽车；发动器；[车辆]汽车，发动器（automobile 复数）；,n. [车辆]汽车；发动器；[车辆]汽车，发动器,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autom/automobile__gb_1.mp3,
updated,P1-107,whales,whale,-s,weɪlz,weɪl,n. 鲸；“whale”的复数；,n. 鲸,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wha/whale/whale__gb_2.mp3,
updated,P9-1455,strategies,strategy,-ies -> y,ˈstrætədʒɪz,ˈstrætədʒi,n. 策略；战略；“strategy”的复数,n. 策略；战略,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/strat/strategy__gb_3.mp3,
updated,P1-352,accounts,account,-s,,əˈkaʊnt,n. 账号；会计账簿；账目（account的复数）,n. 账号；会计账簿；账目,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3,
updated,P9-1421,textiles,textile,-s,ˈtekstaɪlz,ˈtekstaɪl,n.纺织品,n. 纺织品；纺织物,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tex/texti/textile__gb_1.mp3,
updated,P9-332,shoulders,shoulder,-s,ˈʃəʊldəz,ˈʃəʊldə(r),n. 肩膀；肩部；肩膀（shoulder 的复数）；,n. 肩膀；肩部；肩膀,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sho/shoul/shoulder__gb_1.mp3,
updated,P9-1568,sandglasses,sandglass,-es,ˈsændɡlɑːsɪz,ˈsændɡlɑːsɪz,n. 沙漏（复数形式）,n. 沙漏,tts_fallback,,
updated,P9-1339,handouts,handout,-s,ˈhændˌaʊts,ˈhændaʊt,n. 印刷品；讲义；施舍物；救济品；“handout”的复数；,n. 印刷品；讲义；施舍物；救济品,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/hando/handout__gb_1.mp3,
updated,P9-1548,claws,claw,-s,klɔːz,klɔː,n. 爪子；爪子（claw 的复数）；,n. 爪子；爪子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/claw_/claw__gb_1.mp3,
updated,P9-989,festivals,festival,-s,ˈfɛstɪvlz,ˈfestɪvl,n.节日,n.节日,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fes/festi/festival__gb_2.mp3,
updated,P9-1400,restrictions,restriction,-s,rɪˈstrɪkʃ(ə)ns,rɪˈstrɪkʃn,n. 约束；“restriction”的复数；,n. 约束,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/restr/restriction__gb_1.mp3,
updated,P9-102,examples,example,-s,ɪɡˈzɑːmp(ə)lz,ɪɡˈzɑːmpl,n. 例子；“example”的复数,n. 例子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exa/examp/example__gb_1.mp3,
updated,P9-702,pilots,pilot,-s,ˈpaɪləts,ˈpaɪlət,n. 飞行员；“pilot”的复数；,n. 飞行员,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pil/pilot/pilot__gb_1.mp3,
updated,P9-1367,nests,nest,-s,nests,nest,n. 巢；“nest”的复数；,n. 巢,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nes/nest_/nest__gb_1.mp3,
updated,P9-947,cities,city,-ies -> y,ˈsɪtɪz,ˈsɪti,n. 城市；“city”的复数；,n. 城市,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/city_/city__gb_2.mp3,
updated,P9-1070,shirts,shirt,-s,ʃɜːts,ʃɜːt,n.衬衫,n.衬衫,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/shi/shirt/shirt__gb_2.mp3,
updated,P9-1081,spoons,spoon,-s,spuːnz,spuːn,n.汤勺,n.汤勺,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spo/spoon/spoon__gb_2.mp3,
updated,P9-1434,neighbours,neighbour,-s,ˈneɪbəz,ˈneɪbə(r),n. 邻居；“neighbour”的复数；,n. 邻居,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nei/neigh/neighbour__gb_1.mp3,
updated,P9-1413,strangers,stranger,-s,ˈstreɪndʒəz,ˈstreɪndʒə(r),n.陌生人,n.陌生人,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/stran/stranger__gb_1.mp3,
updated,P9-198,materials,material,-s,məˈtɪərɪəlz,məˈtɪəriəl,n. 材料；“material”的复数；,n. 材料,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/mater/material__gb_2.mp3,
updated,P9-945,choices,choice,-s,ˈtʃɔɪsɪs,tʃɔɪs,n.选择,n.选择,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/choic/choice__gb_2.mp3,
updated,P9-1576,cuttings,cutting,-s,ˈkʌtɪŋz,ˈkʌtɪŋ,n. 剪辑；,n. 剪辑,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cut/cutti/cutting__gb_1.mp3,
updated,P9-992,fingers,finger,-s,ˈfɪŋɡəz,ˈfɪŋɡə(r),n. 手指；“finger”的复数；,n. 手指,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fin/finge/finger__gb_1.mp3,
updated,P9-751,respects,respect,-s,rɪˈspekt,rɪˈspekt,n.尊敬,n. 尊敬；方面；v. 尊敬,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/respe/respect__gb_1.mp3,
updated,P9-976,ducks,duck,-s,dʌks,dʌk,n. 鸭；“duck”的复数；,n. 鸭,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/duc/duck_/duck__gb_2.mp3,
updated,P9-1460,versions,version,-s,ˈvɜːʃ(ə)nz,ˈvɜːʃn,n. 版本；,n. 版本,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/ver/versi/version__gb_1.mp3,
updated,P9-53,clouds,cloud,-s,klaʊdz,klaʊd,n.云,n.云,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/cloud/cloud__gb_1.mp3,
updated,P9-1274,calories,calorie,-ies -> y,ˈkæləriz,ˈkæləri,n. 卡路里（热量单位）；“calorie”的复数；,n. 卡路里（热量单位）,tts_fallback,,
updated,P9-215,monkeys,monkey,-s,ˈmʌŋkiz,ˈmʌŋki,n. 猴子；“monkey”的复数；,n. 猴子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mon/monke/monkey__gb_2.mp3,
updated,P9-781,stars,star,-s,stɑːz,stɑː(r),n. 星星；明星；“star”的复数；,n. 星星；明星,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/star_/star__gb_2.mp3,
updated,P9-1075,sides,side,-s,saɪdz,saɪd,n. 边；面；旁边；“side”的复数；,n. 边；面；旁边,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sid/side_/side__gb_1.mp3,
updated,P9-1352,issues,issue,-s,ˈɪʃuːz,ˈɪʃuː,n.事件,n.事件,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/iss/issue/issue__gb_3.mp3,
updated,P9-631,inscriptions,inscription,-s,ˌɪnˈskrɪpʃnz,ɪnˈskrɪpʃn,n. 铭文；,n. 铭文,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/inscr/inscription__gb_1.mp3,
updated,P9-57,coins,coin,-s,kɔɪnz,kɔɪn,n. 硬币；“coin”的复数；,n. 硬币,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coi/coin_/coin__gb_1.mp3,
updated,P9-759,sandwiches,sandwich,-es,ˈsænwɪtʃɪz,ˈsænwɪtʃ,n. 三明治；“sandwich”的复数；,n. 三明治,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/san/sandw/sandwich__gb_8.mp3,
updated,P9-1115,wings,wing,-s,wɪŋz,wɪŋ,n. 翅膀；翼；“wing”的复数；,n. 翅膀；翼,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/win/wing_/wing__gb_1.mp3,
updated,P9-338,skills,skill,-s,skɪls,skɪl,n. 技能；技巧；技术；“skill”的复数；,n. 技能；技巧；技术,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ski/skill/skill__gb_2.mp3,
updated,P9-1281,cliffs,cliff,-s,klɪfs,klɪf,n. 悬崖；峭壁；“cliff”的复数；,n. 悬崖；峭壁,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/cliff/cliff__gb_1.mp3,
updated,P9-1294,crystals,crystal,-s,ˈkrɪstlz,ˈkrɪstl,n.水晶,n.水晶,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cry/cryst/crystal__gb_1.mp3,
updated,P9-1291,corrections,correction,-s,kəˈrekʃnz,kəˈrekʃn,n. 修改；校正；,n. 修改；校正,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corre/correction__gb_1.mp3,
updated,P9-1501,ingredients,ingredient,-s,ɪnˈɡriːdɪənts,ɪnˈɡriːdiənt,n. 材料；组成部分；“ingredient”的复数；,n. 材料；组成部分,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ing/ingre/ingredient__gb_1.mp3,
updated,P9-1111,wheels,wheel,-s,wiːlz,wiːl,n. 轮子；车；“wheel”的复数；,n. 轮子；车,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/whe/wheel/wheel__gb_1.mp3,
updated,P9-654,lists,list,-s,lɪsts,lɪst,n. 清单；“list”的复数； v. 列出；,n. 清单； v. 列出,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lis/list_/list__gb_1.mp3,
updated,P9-1457,symbols,symbol,-s,ˈsɪmb(ə)lz,ˈsɪmbl,n. 象征；“symbol”的复数；,n. 象征,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sym/symbo/symbol__gb_2.mp3,
updated,P9-1098,tickets,ticket,-s,ˈtɪkɪts,ˈtɪkɪt,n. 票；入场券；“ticket”的复数；,n. 票；入场券,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tic/ticke/ticket__gb_1.mp3,
updated,P9-1462,accountants,accountant,-s,əˈkaʊntənts,əˈkaʊntənt,n. 会计师；“accountant”的复数；,n. 会计师,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3,
skipped,P9-1578,sunglasses,sunglasses,skipped,ˈsʌnɡlɑːsɪz,ˈsʌnɡlɑːsɪz,n. 太阳镜；墨镜,n. 太阳镜；墨镜,,,???????????
updated,P9-330,shoes,shoe,-s,ʃuːz,ʃuː,n. 鞋子；“shoe”的复数；,n. 鞋子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sho/shoe_/shoe__gb_2.mp3,
updated,P9-30,boots,boot,-s,buːts,buːt,n. 靴子；“boot”的复数；,n. 靴子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boot_/boot__gb_2.mp3,
updated,P9-236,numbers,number,-s,ˈnʌmbəz,ˈnʌmbə(r),n. 数字；算术；“number”的复数；,n. 数字；算术,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/num/numbe/number__gb_1.mp3,
updated,P9-1025,meetings,meeting,-s,ˈmiːtɪŋz,ˈmiːtɪŋ,n. 会议；会面；“meeting”的复数；,n. 会议；会面,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mee/meeti/meeting__gb_1.mp3,
updated,P9-323,services,service,-s,ˈsɜːvɪsɪz,ˈsɜːvɪs,n. 服务；“service”的复数；,n. 服务,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/servi/service__gb_2.mp3,
updated,P9-691,pairs,pair,-s,peəz,peə(r),n. 一对；一双；“pair”的复数；,n. 一对；一双,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pai/pair_/pair__gb_1.mp3,
updated,P9-1376,patients,patient,-s,ˈpeɪʃənts,ˈpeɪʃnt,n. 病人；“patient”的复数；,n. 病人,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patie/patient__gb_2.mp3,
updated,P9-458,alternatives,alternative,-ves -> f,ɔːlˈtɜːnətɪvz,ɔːlˈtɜːnətɪv,n. 替代选择；替代选择（alternative 的复数）；,n. 替代选择；替代选择,tts_fallback,,
updated,P9-492,churches,church,-es,tʃɜːtʃɪz,tʃɜːtʃ,n. 教堂；“church”的复数；,n. 教堂,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chu/churc/church__gb_2.mp3,
updated,P9-1214,effects,effect,-s,ɪˈfekts,ɪˈfekt,n. 影响；效果；效应；作用；“effect”的复数；,n. 影响；效果；效应；作用,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eff/effec/effect__gb_2.mp3,
updated,P1-128,magazines,magazine,-s,ˈmæɡəziːnz,ˌmæɡəˈziːn,n. 杂志；“magazine”的复数；,n. 杂志,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mag/magaz/magazine__gb_1.mp3,
updated,P9-442,windows,window,-s,ˈwɪndəʊz,ˈwɪndəʊ,n. 窗户；窗口；电脑窗口；“window”的复数；,n. 窗户；窗口；电脑窗口,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/win/windo/window__gb_2.mp3,
updated,P9-1583,predators,predator,-s,ˈpredətəz,ˈpredətə(r),n. 食肉动物；“predator”的复数；,n. 食肉动物,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/preda/predator__gb_1.mp3,
updated,P9-301,roads,road,-s,rəʊds,rəʊd,n. 马路；“road”的复数,n. 马路,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/roa/road_/road__gb_1.mp3,
updated,P9-109,feathers,feather,-s,ˈfeðəz,ˈfeðə(r),n. 羽毛；“feather”的复数；,n. 羽毛,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fea/feath/feather__gb_1.mp3,
updated,P9-288,rats,rat,-s,ræts,ræt,n. 老鼠；耗子；“rat”的复数；,n. 老鼠；耗子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rat/rat__/rat__gb_1.mp3,
updated,P9-175,lamps,lamp,-s,læmps,læmp,n. 灯；“lamp”的复数；,n. 灯,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lam/lamp_/lamp__gb_2.mp3,
updated,P9-355,spices,spice,-s,sˈpaɪsɪz,spaɪs,n.香料,n.香料,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spi/spice/spice__gb_1.mp3,
updated,P9-78,deliveries,delivery,-ies -> y,dɪˈlɪvərɪz,dɪˈlɪvəri,n.交付（的货物）,n.交付（的货物）,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/del/deliv/delivery__gb_2.mp3,
updated,P1-203,candles,candle,-s,ˈkænd(ə)lz,ˈkændl,n. 蜡烛；“candle”的复数；,n. 蜡烛,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/candl/candle__gb_1.mp3,
updated,P9-1282,comets,comet,-s,ˈkəʊmɪts,ˈkɒmɪt,n.彗星,n.彗星,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comet/comet__gb_1.mp3,
updated,P9-341,slaves,slave,-ves -> f,sleɪvz,sleɪv,n. 奴隶；“slave”的复数；,n. 奴隶,tts_fallback,,
