status,id,oldTerm,newTerm,rule,oldPhonetic,newPhonetic,oldMeaning,newMeaning,audioSource,audioUrl,note
updated,P9-1582,submarines,submarine,-s,/ˌsʌbməˈriːnz/,ˌsʌbməˈriːn,n. 潜水艇,n. 潜水艇,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sub/subma/submarine__gb_1.mp3,
updated,P1-226,exercises,exercise,-s,,ˈeksəsaɪz,"n. 练习题, 演习；运动","n. 练习题, 演习；运动",oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exe/exerc/exercise__gb_1.mp3,
updated,P9-621,ideas,idea,-s,aɪˈdɪəz,aɪˈdɪə,n. 主意；想法；“idea”的复数；,n. 主意；想法,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ide/idea_/idea__gb_1.mp3,
updated,P9-683,opportunities,opportunity,-ies -> y,ˌɒpəˈtjuːnɪtɪs,ˌɒpəˈtjuːnəti,n. 机会；“opportunity”的复数,n. 机会,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppor/opportunity__gb_1.mp3,
updated,P9-1469,branches,branch,-es,ˈbrɑːntʃɪz,brɑːntʃ,n. 树枝；分支；分公司；分支；“branch”的复数；,n. 树枝；分支；分公司；分支,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/branc/branch__gb_1.mp3,
updated,P9-1443,rangers,ranger,-s,ˈreɪndʒə(r)z,ˈreɪndʒə(r),n. 护林员；“ranger”的复数；,n. 护林员,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ran/range/ranger__gb_1.mp3,
updated,P9-961,cottages,cottage,-s,ˈkɒtɪdʒz,ˈkɒtɪdʒ,n. 村舍；小屋；小别墅；“cottage”的复数；,n. 村舍；小屋；小别墅,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cot/cotta/cottage__gb_1.mp3,
updated,P9-252,parents,parent,-s,ˈpeərənts,ˈpeərənt,n. 父母；“parent”的复数,n. 父亲或母亲；家长,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/paren/parent__gb_1.mp3,
updated,P9-564,engineers,engineer,-s,ˌendʒɪˈnɪəz,ˌendʒɪˈnɪə(r),n. 工程师；“engineer”的复数；,n. 工程师,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engin/engineer__gb_1.mp3,
updated,P9-821,wages,wage,-s,ˈweɪdʒɪz,weɪdʒ,n. 工资；“wage”的复数；,n. 工资；薪水,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wag/wage_/wage__gb_1.mp3,
skipped,P9-710,police,police,skipped,pəˈliːs,pəˈliːs,n. 警方；警察部门； v. 监督；,n. 警方；警察部门； v. 监督,,,??????/???????
updated,P9-1206,coats,coat,-s,kəuts,kəʊt,n.外套,n.外套,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coa/coat_/coat__gb_2.mp3,
updated,P1-310,discounts,discount,-s,,ˈdɪskaʊnt,"n. 优惠, 折价；扣减额（discount的复数形式）","n. 优惠, 折价；扣减额",oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disco/discount__gb_1.mp3,
updated,P9-603,guides,guide,-s,ɡaɪdz,ɡaɪd,n. 导游；指南；“guide”的复数； v. 指导；指引；,n. 导游；指南； v. 指导；指引,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gui/guide/guide__gb_3.mp3,
updated,P9-826,workshops,workshop,-s,ˈwɜːkʃɒps,ˈwɜːkʃɒp,n. 车间；工场；研讨会；“workshop”的复数,n. 车间；工场；研讨会,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wor/works/workshop__gb_1.mp3,
updated,P9-1036,mushrooms,mushroom,-s,ˈmʌʃruːmz,ˈmʌʃrʊm,n. 蘑菇；“mushroom”的复数；,n. 蘑菇,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mus/mushr/mushroom__gb_1.mp3,
updated,P9-446,words,word,-s,wɜːdz,wɜːd,n. 单词；字；话语；“word”的复数；,n. 单词；字；话语,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wor/word_/word__gb_1.mp3,
updated,P9-602,guidelines,guideline,-s,ˈɡaɪdˌlaɪnz,ˈɡaɪdlaɪn,n.方针政策,n.方针政策,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gui/guide/guideline__gb_2.mp3,
updated,P9-686,origins,origin,-s,ˈɒrɪdʒɪnz,ˈɒrɪdʒɪn,n. 起源；“origin”的复数；,n. 起源,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ori/origi/origin__gb_1.mp3,
updated,P9-1481,cosmetics,cosmetic,-s,kɒzˈmetɪks,kɒzˈmetɪk,n. 化妆品；美容品；“cosmetic”的复数；,n. 化妆品；美容品；adj. 美容的,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cos/cosme/cosmetic__gb_1.mp3,
updated,P9-1296,curtains,curtain,-s,ˈkɜːt(ə)nz,ˈkɜːtn,n. 窗帘；“curtain”的复数；,n. 窗帘,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curta/curtain__gb_2.mp3,
updated,P9-1464,antibiotics,antibiotic,-s,ˌæntɪbaɪˈɒtɪks,ˌæntibaɪˈɒtɪk,n. 抗生素,n. 抗生素,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antib/antibiotic__gb_1.mp3,
updated,P9-984,eyes,eye,-s,aɪz,aɪ,n. 眼睛；“eye”的复数；,n. 眼睛,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eye/eye__/eye__gb_2.mp3,
updated,P9-1116,workbooks,workbook,-s,ˈwɜːkbʊks,ˈwɜːkbʊk,n. 练习本；“workbook”的复数；,n. 练习本,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wor/workb/workbook__gb_1.mp3,
updated,P9-762,sculptures,sculpture,-s,ˈskʌlptʃəz,ˈskʌlptʃə(r),n. 雕刻品；雕像；,n. 雕刻品；雕像,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/scu/sculp/sculpture__gb_1.mp3,
updated,P9-219,movies,movie,-ies -> y,muːvɪz,ˈmuːvi,n. 电影；“movie”的复数；,n. 电影,tts_fallback,,
updated,P9-987,feet,foot,irregular,fiːt,fʊt,n. 脚；英尺；“foot”的复数；,n. 脚；英尺,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/foot_/foot__gb_2.mp3,
updated,P9-1472,bricks,brick,-s,brɪks,brɪk,n. 砖；“brick”的复数；,n. 砖,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brick/brick__gb_2.mp3,
updated,P9-1049,prizes,prize,-es,ˈpraɪzɪz,praɪz,n. 奖赏；奖品；奖金；捕获物；“prize”的复数；,n. 奖赏；奖品；奖金；捕获物,tts_fallback,,
updated,P9-541,dolphins,dolphin,-s,ˈdɒlfɪnz,ˈdɒlfɪn,n. 海豚；“dolphin”的复数；,n. 海豚,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dol/dolph/dolphin__gb_2.mp3,
updated,P9-269,plants,plant,-s,plɑːnts,plɑːnt,n. 植物；发电厂；工厂；作物；“plant”的复数；,n. 植物；发电厂；工厂；作物,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/plant/plant__gb_3.mp3,
updated,P9-292,relationships,relationship,-s,rɪˈleʃ(ə)nʃɪps,rɪˈleɪʃnʃɪp,n. 关系；联系；“relationship”的复数；,n. 关系；联系,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rel/relat/relationship__gb_2.mp3,
updated,P9-1580,beetles,beetle,-s,ˈbiːt(ə)lz,ˈbiːtl,n.甲虫,n.甲虫,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/beetl/beetle__gb_3.mp3,
updated,P9-1019,levels,level,-s,ˈlev(ə)lz,ˈlevl,n. 水平；等级；级别；层次；“level”的复数；,n. 水平；等级；级别；层次,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lev/level/level__gb_2.mp3,
updated,P9-1109,visitors,visitor,-s,ˈvɪzɪtəz,ˈvɪzɪtə(r),n. 客人；游客；“visitor”的复数；,n. 客人；游客,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/vis/visit/visitor__gb_1.mp3,
updated,P9-605,hands,hand,-s,hændz,hænd,n. 手；“hand”的复数；,n. 手,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/hand_/hand__gb_2.mp3,
updated,P9-808,trends,trend,-s,trendz,trend,n. 趋势；“trend”的复数；,n. 趋势,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tre/trend/trend__gb_2.mp3,
updated,P9-248,ovens,oven,-s,ˈʌv(ə)nz,ˈʌvn,n. 烤箱；“oven”的复数；,n. 烤箱,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ove/oven_/oven__gb_1.mp3,
updated,P9-1529,peanuts,peanut,-s,ˈpiːnʌts,ˈpiːnʌt,n.花生,n.花生,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pea/peanu/peanut__gb_1.mp3,
updated,P1-335,towels,towel,-s,ˈtauәlz,ˈtaʊəl,"n. 毛巾, 手巾, 纸巾( towel的名词复数 )","n. 毛巾, 手巾, 纸巾",oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tow/towel/towel__gb_2.mp3,
updated,P9-647,leaves,leaf,irregular,liːvz,liːf,n. 叶；叶片；“leaf”的复数； v. 留下；离开；离去；,n. 叶；叶片； v. 留下；离开；离去,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leaf_/leaf__gb_1.mp3,
updated,P9-469,benefits,benefit,-s,ˈbenɪfɪts,ˈbenɪfɪt,n. 利益；好处；“benefit”的复数； v. 有益于；有助于；,n. 利益；好处； v. 有益于；有助于,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/benef/benefit__gb_2.mp3,
updated,P9-349,songs,song,-s,ˈsɒŋz,sɒŋ,n. 歌曲；“song”的复数；,n. 歌曲,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/son/song_/song__gb_1.mp3,
skipped,P9-527,data,data,skipped,ˈdeɪtə,ˈdeɪtə,n. 数据；资料；,n. 数据；资料,,,??????? data???? datum
updated,P9-1482,critics,critic,-s,ˈkrɪtɪks,ˈkrɪtɪk,n. 评论家；批评人士；,n. 评论家；批评人士,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/criti/critic__gb_2.mp3,
updated,P9-1103,tops,top,-s,tɒps,tɒp,n. 盖；“top”的复数；,n. 盖,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/top/top__/top__gb_1.mp3,
updated,P9-1003,guests,guest,-s,ɡestz,ɡest,n. 宾客；客人；客人（guest 的复数形式）；,n. 宾客；客人；客人,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gue/guest/guest__gb_2.mp3,
updated,P9-659,meals,meal,-s,miːlz,miːl,n. 一餐；一顿饭；“meal”的复数；,n. 一餐；一顿饭,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/meal_/meal__gb_1.mp3,
updated,P9-1149,publications,publication,-s,ˌpʌblɪˈkeɪʃnz,ˌpʌblɪˈkeɪʃn,n. 出版物（publication 的复数）,n. 出版物,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pub/publi/publication__gb_1.mp3,
updated,P9-760,scores,score,-s,skɔːz,skɔː(r),n. 得分；分数；“score”的复数；,n. 得分；分数,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sco/score/score__gb_1.mp3,
updated,P9-1277,catalogs,catalog,-s,ˈkætəlɒɡs,ˈkætəlɒɡs,n. [图情][计]目录；分类（catalog 的复数）；一览表; v. 把……编目分类；登记（ca...,n. [图情][计]目录；分类；一览表; v. 把……编目分类；登记（ca...,tts_fallback,,
updated,P9-1266,aspirations,aspiration,-s,ˌæspəˈreɪʃnz,ˌæspəˈreɪʃn,n.渴望,n.渴望,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/asp/aspir/aspiration__gb_1.mp3,
updated,P9-475,boxes,box,-es,ˈbɒksɪz,bɒks,n. 箱子；盒子；“box”的复数；,n. 箱子；盒子,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/box/box__/box__gb_2.mp3,
updated,P9-615,hormones,hormone,-s,ˈhɔːməʊnz,ˈhɔːməʊn,n. 激素；荷尔蒙；,n. 激素；荷尔蒙,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hor/hormo/hormone__gb_1.mp3,
skipped,P9-1269,atlas,atlas,skipped,ˈætləs,ˈætləs,n. 地图册；地图集；,n. 地图册；地图集,,,?????????????
updated,P9-1288,containers,container,-s,kənˈteɪnəz,kənˈteɪnə(r),n. 容器；集装箱；“container”的复数；,n. 容器；集装箱,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontainer__gb_1.mp3,
updated,P9-1388,priorities,priority,-ies -> y,praɪˈɒrətɪs,praɪˈɒrəti,n. 优先次序；“priority”的复数；,n. 优先次序,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pri/prior/priority__gb_3.mp3,
updated,P9-453,actors,actor,-s,ˈæktəz,ˈæktə(r),n. 男演员；“actor”的复数；,n. 男演员,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actor/actor__gb_2.mp3,
updated,P9-28,bones,bone,-s,bəʊnz,bəʊn,n. 骨；骨头；“bone”的复数；,n. 骨；骨头,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bon/bone_/bone__gb_2.mp3,
updated,P9-1313,drawings,drawing,-s,ˈdrɔːɪŋz,ˈdrɔːɪŋ,n.图纸,n.图纸,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drawi/drawing__gb_3.mp3,
updated,P9-648,lectures,lecture,-s,ˈlektʃəz,ˈlektʃə(r),n. 讲课；演讲；“lecture”的复数；,n. 讲课；演讲,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lec/lectu/lecture__gb_2.mp3,
updated,P9-1045,places,place,-s,ˈpleɪsɪz,pleɪs,n. 地方；“place”的复数,n. 地方,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/place/place__gb_1.mp3,
updated,P9-237,nuts,nut,-s,nʌts,nʌt,n. 坚果；“nut”的复数；,n. 坚果,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nut/nut__/nut__gb_1.mp3,
updated,P9-1370,nutrients,nutrient,-s,ˈnjuːtriənts,ˈnjuːtriənt,n.营养物质,n.营养物质,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nut/nutri/nutrient__gb_1.mp3,
updated,P9-646,learners,learner,-s,ˈlɜːnəz,ˈlɜːnə(r),n. 学习者；“learner”的复数,n. 学习者,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/learn/learner__gb_1.mp3,
updated,P9-1083,stamps,stamp,-s,stæmps,stæmp,n.邮票,n.邮票,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stamp/stamp__gb_1.mp3,
updated,P9-745,reactions,reaction,-s,rɪˈækʃənz,riˈækʃn,n.反应,n.反应,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rea/react/reaction__gb_3.mp3,
updated,P9-168,jobs,job,-s,dˈʒɒbz,dʒɒb,n. 工作；“job”的复数；,n. 工作,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/job/job__/job__gb_4.mp3,
updated,P9-1428,universities,university,-ies -> y,ˌjuːnɪˈvɜːsɪtiːz,ˌjuːnɪˈvɜːsəti,n.大学,n.大学,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/u/uni/unive/university__gb_3.mp3,
updated,P9-1268,assumptions,assumption,-s,əˈsʌmpʃnz,əˈsʌmpʃn,n. 假定；设想；,n. 假定；设想,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assum/assumption__gb_2.mp3,
updated,P9-1574,sexes,sex,-es,ˈsɛksɪz,seks,n.性别,n.性别,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sex/sex__/sex__gb_1.mp3,
updated,P1-287,tools,tool,-s,tuːlz,tuːl,n. 工具；刀具；器具；“tool”的复数；,n. 工具；刀具；器具,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/too/tool_/tool__gb_1.mp3,
updated,P9-311,sales,sale,-s,seɪlz,seɪl,n. 销售额；出售；,n. 销售；出售；特价销售,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sal/sale_/sale__gb_1.mp3,
updated,P9-455,advertisements,advertisement,-s,ədˈvɜːtɪsmənts,ədˈvɜːtɪsmənt,n. 广告；“advertisement”的复数；,n. 广告,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertisement__gb_1.mp3,
updated,P9-1332,gates,gate,-s,ˈɡeɪts,ɡeɪt,n.门,n.门,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gat/gate_/gate__gb_2.mp3,
updated,P9-1217,farmers,farmer,-s,ˈfɑːməz,ˈfɑːmə(r),n. 农夫；“farmer”的复数；,n. 农夫,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/far/farme/farmer__gb_1.mp3,
updated,P9-656,machines,machine,-s,məˈʃiːnz,məˈʃiːn,n. 机器；“machine”的复数；,n. 机器,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/machi/machine__gb_1.mp3,
updated,P9-1043,pets,pet,-s,pets,pet,n. 宠物；宠儿；“pet”的复数；,n. 宠物；宠儿,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pet/pet__/pet__gb_4.mp3,
updated,P1-148,brushes,brush,-es,brʌʃiz,brʌʃ,n. 擦( brush的名词复数 ); 刷子; 小冲突; 灌木丛,n. 擦; 刷子; 小冲突; 灌木丛,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bru/brush/brush__gb_1.mp3,
updated,P9-752,risks,risk,-s,rɪsks,rɪsk,n. 风险；“risk”的复数； v. 冒……风险；,n. 风险； v. 冒……风险,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ris/risk_/risk__gb_2.mp3,
updated,P9-434,weeds,weed,-s,wiːdz,wiːd,n. 杂草；野草；“weed”的复数； v. 除草；铲除；,n. 杂草；野草； v. 除草；铲除,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wee/weed_/weed__gb_1.mp3,
